
Fri, 03 Jun 2016 17:18:50

{u'y': 4.56, u'x': 290.0, u'z': 93.81, u't': 1464967148689}
{u'y': 4.19, u'x': 288.75, u'z': 93.87, u't': 1464967148744}
{u'y': 3.31, u'x': 286.5, u'z': 93.44, u't': 1464967148798}
{u'y': 2.63, u'x': 285.63, u'z': 93.31, u't': 1464967148853}
{u'y': 2.0, u'x': 285.06, u'z': 93.0, u't': 1464967148908}
{u'y': 1.37, u'x': 284.75, u'z': 92.62, u't': 1464967148962}
{u'y': 0.25, u'x': 284.06, u'z': 91.94, u't': 1464967149019}
{u'y': -0.69, u'x': 283.63, u'z': 91.62, u't': 1464967149074}
{u'y': -1.69, u'x': 283.75, u'z': 91.44, u't': 1464967149130}
{u'y': -2.69, u'x': 283.69, u'z': 91.25, u't': 1464967149185}
{u'y': -4.19, u'x': 283.38, u'z': 91.19, u't': 1464967149242}
{u'y': -5.5, u'x': 283.25, u'z': 90.94, u't': 1464967149297}
{u'y': -6.38, u'x': 284.31, u'z': 90.87, u't': 1464967149351}
{u'y': -7.25, u'x': 284.94, u'z': 90.81, u't': 1464967149406}
{u'y': -8.38, u'x': 285.75, u'z': 91.12, u't': 1464967149461}
{u'y': -9.13, u'x': 286.75, u'z': 91.44, u't': 1464967149517}
{u'y': -9.56, u'x': 288.63, u'z': 91.94, u't': 1464967149572}
{u'y': -10.06, u'x': 290.38, u'z': 92.87, u't': 1464967149627}
{u'y': -9.94, u'x': 292.25, u'z': 93.56, u't': 1464967149682}
